kind,statementFile,statementLine,statementColumns,details,statementString,numberOfParameters,isPreparedStatement
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,38,33,"@io.github.eisop.opsc.qual.Sql(out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""38"", column=""33"")",delete from warehouse,0.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,43,33,"@io.github.eisop.opsc.qual.Sql(out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""43"", column=""33"")",delete from district,0.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,47,33,"@io.github.eisop.opsc.qual.Sql(out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""47"", column=""33"")",delete from customer,0.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,51,33,"@io.github.eisop.opsc.qual.Sql(out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""51"", column=""33"")",delete from item,0.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,55,33,"@io.github.eisop.opsc.qual.Sql(out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""55"", column=""33"")",delete from stock,0.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,59,33,"@io.github.eisop.opsc.qual.Sql(out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""59"", column=""33"")",delete from orders,0.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,63,33,"@io.github.eisop.opsc.qual.Sql(out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""63"", column=""33"")",delete from order_line,0.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,67,33,"@io.github.eisop.opsc.qual.Sql(out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""67"", column=""33"")",delete from history,0.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,71,33,"@io.github.eisop.opsc.qual.Sql(out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""71"", column=""33"")",delete from new_order,0.0,True
USING_FALLBACK,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,90,33,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 21: Column 'key' has no default value and does not allow NULLs",,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,90,33,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""NUMERIC"", ""NUMERIC""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""90"", column=""33"")","insert into warehouse (w_id,w_name,w_street_1,w_street_2,w_city,w_state,w_zip,w_tax,w_ytd) values (?,?,?,?,?,?,?,?,?)",9.0,True
USING_FALLBACK,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,117,33,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 20: Column 'key' has no default value and does not allow NULLs",,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,117,33,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER"", ""INTEGER"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""NUMERIC"", ""NUMERIC"", ""INTEGER""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""117"", column=""33"")","insert into district (d_id,d_w_id,d_name,d_street_1,d_street_2,d_city,d_state,d_zip,d_tax,d_ytd,d_next_o_id) values (?,?,?,?,?,?,?,?,?,?,?)",11.0,True
USING_FALLBACK,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,148,33,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 20: Column 'key' has no default value and does not allow NULLs",,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,148,33,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER"", ""INTEGER"", ""INTEGER"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""TIMESTAMP"", ""CHAR"", ""NUMERIC"", ""NUMERIC"", ""NUMERIC"", ""NUMERIC"", ""INTEGER"", ""INTEGER"", ""VARCHAR""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""148"", column=""33"")","insert into customer (c_id,c_d_id,c_w_id,c_first,c_middle,c_last,c_street_1,c_street_2,c_city,c_state,c_zip,c_phone,c_since,c_credit,c_credit_lim,c_discount,c_balance,c_ytd_payment,c_payment_cnt,c_delivery_cnt,c_data) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)",21.0,True
USING_FALLBACK,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,205,33,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 19: Column 'key' has no default value and does not allow NULLs",,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,205,33,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER"", ""INTEGER"", ""INTEGER"", ""INTEGER"", ""INTEGER"", ""TIMESTAMP"", ""NUMERIC"", ""CHAR""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""205"", column=""33"")","insert into history (h_c_id,h_c_d_id,h_c_w_id,h_d_id,h_w_id,h_date,h_amount,h_data) values (?,?,?,?,?,?,?,?)",8.0,True
USING_FALLBACK,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,235,33,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 18: Column 'key' has no default value and does not allow NULLs",,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,235,33,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER"", ""INTEGER"", ""INTEGER"", ""INTEGER"", ""TIMESTAMP"", ""INTEGER"", ""INTEGER"", ""INTEGER""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""235"", column=""33"")","insert into orders (o_id,o_d_id,o_w_id,o_c_id,o_entry_d,o_carrier_id,o_ol_cnt,o_all_local) values (?,?,?,?,?,?,?,?)",8.0,True
USING_FALLBACK,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,273,33,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 21: Column 'key' has no default value and does not allow NULLs",,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,273,33,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER"", ""INTEGER"", ""INTEGER""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""273"", column=""33"")","insert into new_order (no_o_id,no_d_id,no_w_id) values (?,?,?)",3.0,True
USING_FALLBACK,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,297,33,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 16: Column 'key' has no default value and does not allow NULLs",,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,297,33,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER"", ""INTEGER"", ""CHAR"", ""NUMERIC"", ""CHAR""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""297"", column=""33"")","insert into item (i_id,i_im_id,i_name,i_price,i_data) values (?,?,?,?,?)",5.0,True
USING_FALLBACK,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,324,33,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 17: Column 'key' has no default value and does not allow NULLs",,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,324,33,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER"", ""INTEGER"", ""INTEGER"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""CHAR"", ""INTEGER"", ""INTEGER"", ""INTEGER"", ""CHAR""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""324"", column=""33"")","insert into stock (s_i_id,s_w_id,s_quantity,s_dist_01,s_dist_02,s_dist_03,s_dist_04,s_dist_05,s_dist_06,s_dist_07,s_dist_08,s_dist_09,s_dist_10,s_ytd,s_order_cnt,s_remote_cnt,s_data) values (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)",17.0,True
USING_FALLBACK,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,370,33,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 22: Column 'key' has no default value and does not allow NULLs",,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java,370,33,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER"", ""INTEGER"", ""INTEGER"", ""INTEGER"", ""INTEGER"", ""INTEGER"", ""TIMESTAMP"", ""INTEGER"", ""NUMERIC"", ""CHAR""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/populate/dbPopulate.java"", line=""370"", column=""33"")","insert into order_line  (ol_o_id,ol_d_id,ol_w_id,ol_number,ol_i_id,ol_supply_w_id,ol_delivery_d,ol_quantity,ol_amount,ol_dist_info) values (?,?,?,?,?,?,?,?,?,?)",10.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/transaction/mysql/dbTransactionMySql.java,82,45,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER"", ""INTEGER""}, out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/escadatpc-c/EscadaTPC-C/src/main/java/escada/tpc/tpcc/database/transaction/mysql/dbTransactionMySql.java"", line=""82"", column=""45"")",update district set d_next_o_id = d_next_o_id + 1 where d_w_id = ? and d_id = ?,2.0,True
