kind,bindingFile,bindingLine,bindingColumn,statementFile,statementLine,statementColumn,key,details
OK,/artifact/projects/handwritten/handwritten/src/main/java/Delete.java,12,9,/artifact/projects/handwritten/handwritten/src/main/java/Delete.java,9,34,parameter.set,"SQL type=INTEGER, method=setInt"
ERROR,/artifact/projects/handwritten/handwritten/src/main/java/Delete.java,16,9,/artifact/projects/handwritten/handwritten/src/main/java/Delete.java,9,34,parameter.index.out.of.bounds,"index=1, size=1"
ERROR,/artifact/projects/handwritten/handwritten/src/main/java/Delete.java,20,9,/artifact/projects/handwritten/handwritten/src/main/java/Delete.java,9,34,parameter.incompatibleTypes,"SQL type=INTEGER, method=setString"
OK,/artifact/projects/handwritten/handwritten/src/main/java/IndexIncrement.java,16,9,/artifact/projects/handwritten/handwritten/src/main/java/IndexIncrement.java,14,32,parameter.set,"SQL type=VARCHAR, method=setString"
ERROR,/artifact/projects/handwritten/handwritten/src/main/java/IndexIncrement.java,18,9,/artifact/projects/handwritten/handwritten/src/main/java/IndexIncrement.java,14,32,parameter.index.out.of.bounds,"index=1, size=1"
OK,/artifact/projects/handwritten/handwritten/src/main/java/Insert.java,14,9,/artifact/projects/handwritten/handwritten/src/main/java/Insert.java,11,34,parameter.set,"SQL type=INTEGER, method=setInt"
OK,/artifact/projects/handwritten/handwritten/src/main/java/Insert.java,15,9,/artifact/projects/handwritten/handwritten/src/main/java/Insert.java,11,34,parameter.set,"SQL type=INTEGER, method=setInt"
OK,/artifact/projects/handwritten/handwritten/src/main/java/Insert.java,16,9,/artifact/projects/handwritten/handwritten/src/main/java/Insert.java,11,34,parameter.set,"SQL type=TIMESTAMP, method=setTimestamp"
OK,/artifact/projects/handwritten/handwritten/src/main/java/Insert.java,17,9,/artifact/projects/handwritten/handwritten/src/main/java/Insert.java,11,34,parameter.set,"SQL type=DECIMAL, method=setBigDecimal"
ERROR,/artifact/projects/handwritten/handwritten/src/main/java/Insert.java,21,9,/artifact/projects/handwritten/handwritten/src/main/java/Insert.java,11,34,parameter.index.out.of.bounds,"index=4, size=4"
ERROR,/artifact/projects/handwritten/handwritten/src/main/java/Insert.java,25,9,/artifact/projects/handwritten/handwritten/src/main/java/Insert.java,11,34,parameter.incompatibleTypes,"SQL type=TIMESTAMP, method=setString"
OK,/artifact/projects/handwritten/handwritten/src/main/java/IntelliJ.java,26,9,/artifact/projects/handwritten/handwritten/src/main/java/IntelliJ.java,25,32,parameter.set,"SQL type=INTEGER, method=setInt"
OK,/artifact/projects/handwritten/handwritten/src/main/java/IntelliJ.java,27,9,/artifact/projects/handwritten/handwritten/src/main/java/IntelliJ.java,25,32,parameter.set,"SQL type=VARCHAR, method=setString"
ERROR,/artifact/projects/handwritten/handwritten/src/main/java/IntelliJ.java,30,9,/artifact/projects/handwritten/handwritten/src/main/java/IntelliJ.java,25,32,parameter.incompatibleTypes,"SQL type=VARCHAR, method=setInt"
ERROR,/artifact/projects/handwritten/handwritten/src/main/java/IntelliJ.java,32,9,/artifact/projects/handwritten/handwritten/src/main/java/IntelliJ.java,25,32,parameter.index.out.of.bounds,"index=2, size=2"
OK,/artifact/projects/handwritten/handwritten/src/main/java/IntelliJ.java,41,9,/artifact/projects/handwritten/handwritten/src/main/java/IntelliJ.java,40,32,parameter.set,"SQL type=INTEGER, method=setInt"
OK,/artifact/projects/handwritten/handwritten/src/main/java/IntelliJ.java,42,9,/artifact/projects/handwritten/handwritten/src/main/java/IntelliJ.java,40,32,parameter.set,"SQL type=VARCHAR, method=setString"
