kind,statementFile,statementLine,statementColumns,details,statementString,numberOfParameters,isPreparedStatement
SKIPPED_STATEMENT,/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/App.java,163,7,Ignoring statement of unsupported type: DROP TABLE PURCHASES IF EXISTS;DROP TABLE CUSTOMERS IF EXISTS;DROP TABLE PRODUCTS IF EXISTS;,,,False
SKIPPED_STATEMENT,/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/App.java,163,7,Ignoring statement of unsupported type: DROP TABLE PURCHASES IF EXISTS;DROP TABLE CUSTOMERS IF EXISTS;DROP TABLE PRODUCTS IF EXISTS;,,,False
SKIPPED_STATEMENT,/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/App.java,170,7,"Ignoring statement of unsupported type: CREATE TABLE CUSTOMERS (name varchar primary key, money decimal);CREATE TABLE PRODUCTS (name varchar primary key, price decimal, expiration_date date);CREATE TABLE PURCHASES (product_name varchar references PRODUCTS(name),customer_name varchar references CUSTOMERS(name));",,,False
SKIPPED_STATEMENT,/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/App.java,170,7,"Ignoring statement of unsupported type: CREATE TABLE CUSTOMERS (name varchar primary key, money decimal);CREATE TABLE PRODUCTS (name varchar primary key, price decimal, expiration_date date);CREATE TABLE PURCHASES (product_name varchar references PRODUCTS(name),customer_name varchar references CUSTOMERS(name));",,,False
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/CustomerDaoImpl.java,51,33,"@io.github.eisop.opsc.qual.Sql(in={""VARCHAR""}, out={""VARCHAR name"", ""DECIMAL money""}, file=""/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/CustomerDaoImpl.java"", line=""51"", column=""33"")",select * from CUSTOMERS where name = ?;,1.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/CustomerDaoImpl.java,51,33,"@io.github.eisop.opsc.qual.Sql(in={""VARCHAR""}, out={""VARCHAR name"", ""DECIMAL money""}, file=""/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/CustomerDaoImpl.java"", line=""51"", column=""33"")",select * from CUSTOMERS where name = ?;,1.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/CustomerDaoImpl.java,73,33,"@io.github.eisop.opsc.qual.Sql(in={""DECIMAL"", ""VARCHAR""}, out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/CustomerDaoImpl.java"", line=""73"", column=""33"")",update CUSTOMERS set money = ? where name = ?;,2.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/CustomerDaoImpl.java,73,33,"@io.github.eisop.opsc.qual.Sql(in={""DECIMAL"", ""VARCHAR""}, out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/CustomerDaoImpl.java"", line=""73"", column=""33"")",update CUSTOMERS set money = ? where name = ?;,2.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/CustomerDaoImpl.java,84,33,"@io.github.eisop.opsc.qual.Sql(in={""VARCHAR"", ""DECIMAL""}, out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/CustomerDaoImpl.java"", line=""84"", column=""33"")","insert into CUSTOMERS (name, money) values (?, ?)",2.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/CustomerDaoImpl.java,84,33,"@io.github.eisop.opsc.qual.Sql(in={""VARCHAR"", ""DECIMAL""}, out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/java-design-patterns/java-design-patterns-noannos/domain-model/build/generated/sources/delombok/java/main/com/iluwatar/domainmodel/CustomerDaoImpl.java"", line=""84"", column=""33"")","insert into CUSTOMERS (name, money) values (?, ?)",2.0,True
