kind,bindingFile,bindingLine,bindingColumn,statementFile,statementLine,statementColumn,key,details
OK,/artifact/projects/jdbc-course/JDBC-Course/Delete_PreparedStatement/src/JDBC_ex/Deleting.java,20,13,/artifact/projects/jdbc-course/JDBC-Course/Delete_PreparedStatement/src/JDBC_ex/Deleting.java,18,16,parameter.set,"SQL type=INTEGER, method=setInt"
OK,/artifact/projects/jdbc-course/JDBC-Course/Delete_PreparedStatement/src/JDBC_ex/Deleting.java,22,13,/artifact/projects/jdbc-course/JDBC-Course/Delete_PreparedStatement/src/JDBC_ex/Deleting.java,18,16,parameter.set,"SQL type=INTEGER, method=setInt"
ERROR,/artifact/projects/jdbc-course/JDBC-Course/First_JDBC_APP/src/First_JDBC_APP/First_JDBC_APP_Demo.java,28,46,/artifact/projects/jdbc-course/JDBC-Course/First_JDBC_APP/src/First_JDBC_APP/First_JDBC_APP_Demo.java,21,28,column.incompatibleTypes,"SQL type=INTEGER id, method=getString"
OK,/artifact/projects/jdbc-course/JDBC-Course/First_JDBC_APP/src/First_JDBC_APP/First_JDBC_APP_Demo.java,29,45,/artifact/projects/jdbc-course/JDBC-Course/First_JDBC_APP/src/First_JDBC_APP/First_JDBC_APP_Demo.java,21,28,column.get,"SQL type=VARCHAR username, method=getString"
OK,/artifact/projects/jdbc-course/JDBC-Course/First_JDBC_APP/src/First_JDBC_APP/First_JDBC_APP_Demo.java,29,77,/artifact/projects/jdbc-course/JDBC-Course/First_JDBC_APP/src/First_JDBC_APP/First_JDBC_APP_Demo.java,21,28,column.get,"SQL type=VARCHAR pass, method=getString"
OK,/artifact/projects/jdbc-course/JDBC-Course/InsertUser_PreparedStatement/src/JDBC_ex/Inserting.java,25,13,/artifact/projects/jdbc-course/JDBC-Course/InsertUser_PreparedStatement/src/JDBC_ex/Inserting.java,18,16,parameter.set,"SQL type=VARCHAR, method=setString"
OK,/artifact/projects/jdbc-course/JDBC-Course/InsertUser_PreparedStatement/src/JDBC_ex/Inserting.java,26,13,/artifact/projects/jdbc-course/JDBC-Course/InsertUser_PreparedStatement/src/JDBC_ex/Inserting.java,18,16,parameter.set,"SQL type=VARCHAR, method=setString"
OK,/artifact/projects/jdbc-course/JDBC-Course/Insert_PreparedStatement/src/JDBC_ex/Inserting.java,18,13,/artifact/projects/jdbc-course/JDBC-Course/Insert_PreparedStatement/src/JDBC_ex/Inserting.java,17,16,parameter.set,"SQL type=VARCHAR, method=setString"
OK,/artifact/projects/jdbc-course/JDBC-Course/Insert_PreparedStatement/src/JDBC_ex/Inserting.java,19,13,/artifact/projects/jdbc-course/JDBC-Course/Insert_PreparedStatement/src/JDBC_ex/Inserting.java,17,16,parameter.set,"SQL type=VARCHAR, method=setString"
OK,/artifact/projects/jdbc-course/JDBC-Course/Insert_PreparedStatement/src/JDBC_ex/Inserting.java,21,13,/artifact/projects/jdbc-course/JDBC-Course/Insert_PreparedStatement/src/JDBC_ex/Inserting.java,17,16,parameter.set,"SQL type=VARCHAR, method=setString"
OK,/artifact/projects/jdbc-course/JDBC-Course/Insert_PreparedStatement/src/JDBC_ex/Inserting.java,22,13,/artifact/projects/jdbc-course/JDBC-Course/Insert_PreparedStatement/src/JDBC_ex/Inserting.java,17,16,parameter.set,"SQL type=VARCHAR, method=setString"
OK,/artifact/projects/jdbc-course/JDBC-Course/Insert_PreparedStatement/src/JDBC_ex/Inserting.java,24,13,/artifact/projects/jdbc-course/JDBC-Course/Insert_PreparedStatement/src/JDBC_ex/Inserting.java,17,16,parameter.set,"SQL type=VARCHAR, method=setString"
OK,/artifact/projects/jdbc-course/JDBC-Course/Insert_PreparedStatement/src/JDBC_ex/Inserting.java,25,13,/artifact/projects/jdbc-course/JDBC-Course/Insert_PreparedStatement/src/JDBC_ex/Inserting.java,17,16,parameter.set,"SQL type=VARCHAR, method=setString"
ERROR,/artifact/projects/jdbc-course/JDBC-Course/ResultSet_Methods/src/JDBC_ex/ResultSet_Methods.java,29,32,/artifact/projects/jdbc-course/JDBC-Course/ResultSet_Methods/src/JDBC_ex/ResultSet_Methods.java,17,28,column.incompatibleTypes,"SQL type=INTEGER id, method=getString"
OK,/artifact/projects/jdbc-course/JDBC-Course/ResultSet_Methods/src/JDBC_ex/ResultSet_Methods.java,29,56,/artifact/projects/jdbc-course/JDBC-Course/ResultSet_Methods/src/JDBC_ex/ResultSet_Methods.java,17,28,column.get,"SQL type=VARCHAR name, method=getString"
OK,/artifact/projects/jdbc-course/JDBC-Course/ResultSet_Methods/src/JDBC_ex/ResultSet_Methods.java,29,80,/artifact/projects/jdbc-course/JDBC-Course/ResultSet_Methods/src/JDBC_ex/ResultSet_Methods.java,17,28,column.get,"SQL type=VARCHAR gender, method=getString"
OK,/artifact/projects/jdbc-course/JDBC-Course/Select_PreparedStatement/src/JDBC_ex/Select.java,20,13,/artifact/projects/jdbc-course/JDBC-Course/Select_PreparedStatement/src/JDBC_ex/Select.java,18,16,parameter.set,"SQL type=INTEGER, method=setInt"
OK,/artifact/projects/jdbc-course/JDBC-Course/Select_PreparedStatement/src/JDBC_ex/Select.java,24,32,/artifact/projects/jdbc-course/JDBC-Course/Select_PreparedStatement/src/JDBC_ex/Select.java,18,16,column.get,"SQL type=INTEGER id, method=getInt"
OK,/artifact/projects/jdbc-course/JDBC-Course/Select_PreparedStatement/src/JDBC_ex/Select.java,24,49,/artifact/projects/jdbc-course/JDBC-Course/Select_PreparedStatement/src/JDBC_ex/Select.java,18,16,column.get,"SQL type=VARCHAR name, method=getString"
OK,/artifact/projects/jdbc-course/JDBC-Course/Select_PreparedStatement/src/JDBC_ex/Select.java,24,69,/artifact/projects/jdbc-course/JDBC-Course/Select_PreparedStatement/src/JDBC_ex/Select.java,18,16,column.get,"SQL type=VARCHAR gender, method=getString"
OK,/artifact/projects/jdbc-course/JDBC-Course/Update_PreparedStatement/src/JDBC_ex/Update.java,19,13,/artifact/projects/jdbc-course/JDBC-Course/Update_PreparedStatement/src/JDBC_ex/Update.java,17,16,parameter.set,"SQL type=VARCHAR, method=setString"
OK,/artifact/projects/jdbc-course/JDBC-Course/Update_PreparedStatement/src/JDBC_ex/Update.java,20,13,/artifact/projects/jdbc-course/JDBC-Course/Update_PreparedStatement/src/JDBC_ex/Update.java,17,16,parameter.set,"SQL type=VARCHAR, method=setString"
OK,/artifact/projects/jdbc-course/JDBC-Course/Update_PreparedStatement/src/JDBC_ex/Update.java,21,13,/artifact/projects/jdbc-course/JDBC-Course/Update_PreparedStatement/src/JDBC_ex/Update.java,17,16,parameter.set,"SQL type=INTEGER, method=setInt"
