kind,statementFile,statementLine,statementColumns,details,statementString,numberOfParameters,isPreparedStatement
SKIPPED_STATEMENT,/artifact/projects/jdbc-course/JDBC-Course/Create_Table/src/JDBC_Ex/Create_Table_Demo.java,20,13,"Ignoring statement of unsupported type: Create table emp (ID int Primary Key auto_increment,Name varchar(40), Gender varchar(10) )",,,False
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/jdbc-course/JDBC-Course/Delete/src/JDBC_Ex/Delete_Demo.java,20,13,"@io.github.eisop.opsc.qual.Sql(out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/jdbc-course/JDBC-Course/Delete/src/JDBC_Ex/Delete_Demo.java"", line=""20"", column=""13"")",DELETE FROM emp WHERE id = 2,0.0,False
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/jdbc-course/JDBC-Course/Delete_PreparedStatement/src/JDBC_ex/Deleting.java,18,16,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER""}, out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/jdbc-course/JDBC-Course/Delete_PreparedStatement/src/JDBC_ex/Deleting.java"", line=""18"", column=""16"")",delete from students where id = ?,1.0,True
SKIPPED_STATEMENT,/artifact/projects/jdbc-course/JDBC-Course/Drop_Table/src/JDBC_Ex/Drop_Table_Demo.java,20,13,Ignoring statement of unsupported type: Drop table emp,,,False
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/jdbc-course/JDBC-Course/First_JDBC_APP/src/First_JDBC_APP/First_JDBC_APP_Demo.java,21,28,"@io.github.eisop.opsc.qual.Sql(out={""INTEGER id"", ""VARCHAR username"", ""VARCHAR pass""}, file=""/artifact/projects/jdbc-course/JDBC-Course/First_JDBC_APP/src/First_JDBC_APP/First_JDBC_APP_Demo.java"", line=""21"", column=""28"")",SELECT * FROM employee,0.0,False
USING_FALLBACK,/artifact/projects/jdbc-course/JDBC-Course/Insert/src/JDBC_Ex/Insert_Demo.java,20,13,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 15: Column 'id' has no default value and does not allow NULLs",,,False
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/jdbc-course/JDBC-Course/Insert/src/JDBC_Ex/Insert_Demo.java,20,13,"@io.github.eisop.opsc.qual.Sql(file=""/artifact/projects/jdbc-course/JDBC-Course/Insert/src/JDBC_Ex/Insert_Demo.java"", line=""20"", column=""13"")","Insert into emp (Name,Gender) values ('Mohammed', 'male')",0.0,False
USING_FALLBACK,/artifact/projects/jdbc-course/JDBC-Course/Insert/src/JDBC_Ex/Insert_Demo.java,22,13,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 15: Column 'id' has no default value and does not allow NULLs",,,False
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/jdbc-course/JDBC-Course/Insert/src/JDBC_Ex/Insert_Demo.java,22,13,"@io.github.eisop.opsc.qual.Sql(file=""/artifact/projects/jdbc-course/JDBC-Course/Insert/src/JDBC_Ex/Insert_Demo.java"", line=""22"", column=""13"")","Insert into emp (Name,Gender) values ('Ahmed', 'male')",0.0,False
USING_FALLBACK,/artifact/projects/jdbc-course/JDBC-Course/Insert/src/JDBC_Ex/Insert_Demo.java,24,13,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 15: Column 'id' has no default value and does not allow NULLs",,,False
