kind,statementFile,statementLine,statementColumns,details,statementString,numberOfParameters,isPreparedStatement
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/AddNewInterfaceServlet.java,112,20,"@io.github.eisop.opsc.qual.Sql(in={""VARCHAR""}, out={""INTEGER NODEID""}, file=""/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/AddNewInterfaceServlet.java"", line=""112"", column=""20"")","SELECT nodeid FROM ipinterface WHERE ipaddr = ? AND ismanaged in ('M', 'A', 'U', 'F')",1.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/DeleteGetNodesServlet.java,88,39,"@io.github.eisop.opsc.qual.Sql(out={""INTEGER NODEID"", ""VARCHAR NODELABEL""}, file=""/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/DeleteGetNodesServlet.java"", line=""88"", column=""39"")","SELECT nodeid, nodelabel FROM node WHERE nodetype != 'D' ORDER BY nodelabel, nodeid",0.0,False
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/DeleteNodesServlet.java,135,38,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER""}, out={""VARCHAR IPADDR""}, file=""/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/DeleteNodesServlet.java"", line=""135"", column=""38"")",SELECT DISTINCT ipaddr FROM ipinterface WHERE nodeid=?,1.0,True
USING_FALLBACK,/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/GetInterfacesServlet.java,110,43,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 126 to line 1, column 137: No match found for function signature INET(<CHARACTER>)",,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/GetInterfacesServlet.java,110,43,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER""}, out={""VARCHAR ipaddr"", ""CHAR ismanaged""}, file=""/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/GetInterfacesServlet.java"", line=""110"", column=""43"")","SELECT ipaddr, isManaged FROM ipinterface WHERE nodeid=? AND ismanaged IN ('M','A','U','F') AND ipaddr <> '0.0.0.0' ORDER BY inet(ipaddr)",1.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/GetInterfacesServlet.java,124,45,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER"", ""VARCHAR""}, out={""INTEGER SERVICEID"", ""VARCHAR SERVICENAME"", ""CHAR STATUS""}, file=""/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/GetInterfacesServlet.java"", line=""124"", column=""45"")","SELECT ifservices.serviceid, service.servicename, ifservices.status FROM ifservices, service, ipInterface, node WHERE ifServices.ipInterfaceId = ipInterface.id AND ipInterface.nodeId = node.nodeId AND node.nodeid = ? AND ipInterface.ipaddr = ? AND ifservices.status in ('A','U','F','S','R') AND ifservices.serviceid = service.serviceid ORDER BY service.servicename",2.0,True
USING_FALLBACK,/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/GetNodesServlet.java,90,43,"org.apache.calcite.sql.parser.SqlParseException: Lexical error at line 1, column 147.  Encountered: ""~"" (126), after : """"",,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/GetNodesServlet.java,90,43,"@io.github.eisop.opsc.qual.Sql(out={""INTEGER nodeid"", ""VARCHAR ipaddr"", ""CHAR ismanaged""}, file=""/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/GetNodesServlet.java"", line=""90"", column=""43"")","SELECT nodeid, ipaddr, isManaged FROM ipinterface WHERE ismanaged in ('M','A','U','F') AND ipaddr <> '0.0.0.0' ORDER BY nodeid, case when (ipaddr ~ E'^([0-9]{1,3}\.){3}[0-9]{1,3}$') then inet(ipaddr) else null end, ipaddr",0.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/GetNodesServlet.java,105,49,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER"", ""VARCHAR""}, out={""INTEGER SERVICEID"", ""VARCHAR SERVICENAME"", ""CHAR STATUS""}, file=""/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/GetNodesServlet.java"", line=""105"", column=""49"")","SELECT ifservices.serviceid, service.servicename, ifservices.status FROM ifservices, service, ipInterface, node WHERE ifServices.ipInterfaceId = ipInterface.id AND ipInterface.nodeId = node.nodeId AND node.nodeid = ? AND ipInterface.ipaddr = ? AND ifservices.status in ('A','U','F','S','R') AND ifservices.serviceid = service.serviceid ORDER BY service.servicename",2.0,True
USING_FALLBACK,/artifact/projects/opennms/opennms-annos/opennms-webapp/src/main/java/org/opennms/web/admin/nodeManagement/ManageNodeServlet.java,125,42,"org.apache.calcite.sql.parser.SqlParseException: Encountered ""FROM"" at line 1, column 34.
Was expecting one of:
    <EOF> 
    ""WHERE"" ...
    "","" ...
    ""."" ...
    ""NOT"" ...
    ""IN"" ...
    ""<"" ...
    ""<="" ...
    "">"" ...
    "">="" ...
    ""="" ...
    ""<>"" ...
    ""!="" ...
    ""BETWEEN"" ...
    ""LIKE"" ...
    ""ILIKE"" ...
    ""RLIKE"" ...
    ""SIMILAR"" ...
    ""+"" ...
    ""-"" ...
    ""*"" ...
    ""/"" ...
    ""%"" ...
    ""||"" ...
    ""AND"" ...
    ""OR"" ...
    ""IS"" ...
    ""MEMBER"" ...
    ""SUBMULTISET"" ...
    ""CONTAINS"" ...
    ""OVERLAPS"" ...
    ""EQUALS"" ...
    ""PRECEDES"" ...
    ""SUCCEEDS"" ...
    ""IMMEDIATELY"" ...
    ""MULTISET"" ...
    ""["" ...
    ""FORMAT"" ...
    ",,,True
