kind,statementFile,statementLine,statementColumns,details,statementString,numberOfParameters,isPreparedStatement
UNSUPPORTED_PREPARED_STATEMENT,/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java,30,20,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 19: Number of INSERT target columns (8) does not equal number of source items (7)--- JDBC: org.postgresql.util.PSQLException: ERROR: INSERT has more target columns than expressions
  Position: 97","INSERT INTO ACCOUNT (ACCOUNT_ID, CUSTOMER_ID, ACCT_TYPE, BALANCE, ACCT_NUMBER, CRT_CLASS, LUID, LUTS) VALUES (?, ?, ?, ?, ?, ?, ?)",,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java,114,20,"@io.github.eisop.opsc.qual.Sql(in={""BIGINT""}, out={""CHAR ACCT_TYPE"", ""BIGINT CUSTOMER_ID"", ""INTEGER ACCT_NUMBER"", ""DOUBLE BALANCE"", ""CHAR LUID"", ""BIGINT LUTS""}, file=""/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java"", line=""114"", column=""20"")","SELECT ACCT_TYPE, CUSTOMER_ID, ACCT_NUMBER, BALANCE, LUID, LUTS FROM ACCOUNT WHERE ACCOUNT_ID = ?",1.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java,232,20,"@io.github.eisop.opsc.qual.Sql(in={""BIGINT""}, out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java"", line=""232"", column=""20"")",DELETE FROM ACCOUNT WHERE ACCOUNT_ID = ?,1.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java,273,20,"@io.github.eisop.opsc.qual.Sql(in={""BIGINT"", ""CHAR"", ""INTEGER"", ""DOUBLE"", ""CHAR"", ""BIGINT"", ""BIGINT"", ""CHAR"", ""BIGINT""}, out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java"", line=""273"", column=""20"")","UPDATE ACCOUNT SET CUSTOMER_ID = ?, ACCT_TYPE = ?, ACCT_NUMBER = ?, BALANCE = ?, LUID = ?, LUTS = ? WHERE ACCOUNT_ID = ? AND LUID = ? AND LUTS = ?",9.0,True
UNSUPPORTED_PREPARED_STATEMENT,/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java,30,20,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 19: Number of INSERT target columns (8) does not equal number of source items (7)--- JDBC: org.postgresql.util.PSQLException: ERROR: INSERT has more target columns than expressions
  Position: 97","INSERT INTO ACCOUNT (ACCOUNT_ID, CUSTOMER_ID, ACCT_TYPE, BALANCE, ACCT_NUMBER, CRT_CLASS, LUID, LUTS) VALUES (?, ?, ?, ?, ?, ?, ?)",,True
UNSUPPORTED_PREPARED_STATEMENT,/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java,30,20,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 13 to line 1, column 19: Number of INSERT target columns (8) does not equal number of source items (7)--- JDBC: org.postgresql.util.PSQLException: ERROR: INSERT has more target columns than expressions
  Position: 97","INSERT INTO ACCOUNT (ACCOUNT_ID, CUSTOMER_ID, ACCT_TYPE, BALANCE, ACCT_NUMBER, CRT_CLASS, LUID, LUTS) VALUES (?, ?, ?, ?, ?, ?, ?)",,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java,114,20,"@io.github.eisop.opsc.qual.Sql(in={""BIGINT""}, out={""CHAR ACCT_TYPE"", ""BIGINT CUSTOMER_ID"", ""INTEGER ACCT_NUMBER"", ""DOUBLE BALANCE"", ""CHAR LUID"", ""BIGINT LUTS""}, file=""/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java"", line=""114"", column=""20"")","SELECT ACCT_TYPE, CUSTOMER_ID, ACCT_NUMBER, BALANCE, LUID, LUTS FROM ACCOUNT WHERE ACCOUNT_ID = ?",1.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java,114,20,"@io.github.eisop.opsc.qual.Sql(in={""BIGINT""}, out={""CHAR ACCT_TYPE"", ""BIGINT CUSTOMER_ID"", ""INTEGER ACCT_NUMBER"", ""DOUBLE BALANCE"", ""CHAR LUID"", ""BIGINT LUTS""}, file=""/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java"", line=""114"", column=""20"")","SELECT ACCT_TYPE, CUSTOMER_ID, ACCT_NUMBER, BALANCE, LUID, LUTS FROM ACCOUNT WHERE ACCOUNT_ID = ?",1.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java,232,20,"@io.github.eisop.opsc.qual.Sql(in={""BIGINT""}, out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java"", line=""232"", column=""20"")",DELETE FROM ACCOUNT WHERE ACCOUNT_ID = ?,1.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java,232,20,"@io.github.eisop.opsc.qual.Sql(in={""BIGINT""}, out={""BIGINT ROWCOUNT""}, file=""/artifact/projects/oreilly-bank/oreilly-bank/src/main/java/com/imaginary/bank/AccountPersistence.java"", line=""232"", column=""20"")",DELETE FROM ACCOUNT WHERE ACCOUNT_ID = ?,1.0,True
