kind,statementFile,statementLine,statementColumns,details,statementString,numberOfParameters,isPreparedStatement
CANNOT_DETERMINE_STATEMENT_STRING,/artifact/projects/oscar/oscar-annos/src/main/java/com/quatro/dao/LookupDao.java,688,115,,,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeDAO.java,273,48,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER"", ""TIMESTAMP"", ""TIMESTAMP""}, out={""INTEGER INTAKE_ID""}, file=""/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeDAO.java"", line=""273"", column=""48"")",select intake_id from intake where intake_node_id=? and creation_date>? and creation_date<?,3.0,True
CANNOT_DETERMINE_STATEMENT_STRING,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeDAO.java,361,75,,,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeNodeDAO.java,126,48,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER""}, out={""INTEGER INTAKE_NODE_ID""}, file=""/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeNodeDAO.java"", line=""126"", column=""48"")",select intake_node_id from intake_node where eq_to_id=?,1.0,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeNodeDAO.java,148,48,"@io.github.eisop.opsc.qual.Sql(in={""INTEGER""}, out={""INTEGER EQ_TO_ID""}, file=""/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeNodeDAO.java"", line=""148"", column=""48"")",select eq_to_id from intake_node where intake_node_id=?,1.0,True
USING_FALLBACK,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/PMmodule/utility/MigrateStaffAssignments.java,46,9,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 15 to line 1, column 35: Object 'PROVIDER_ROLE_PROGRAM' not found",,,False
UNSUPPORTED_PREPARED_STATEMENT,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/PMmodule/utility/MigrateStaffAssignments.java,46,9,"org.apache.calcite.tools.ValidationException: org.apache.calcite.runtime.CalciteContextException: From line 1, column 15 to line 1, column 35: Object 'PROVIDER_ROLE_PROGRAM' not found--- JDBC: java.sql.SQLSyntaxErrorException: Table 'oscar.provider_role_program' doesn't exist",SELECT * FROM provider_role_program,,False
CANNOT_DETERMINE_STATEMENT_STRING,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/PMmodule/utility/MigrateStaffAssignments.java,66,22,,,,False
CANNOT_DETERMINE_STATEMENT_STRING,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/PMmodule/utility/MigrateStaffAssignments.java,78,22,,,,False
CANNOT_DETERMINE_STATEMENT_STRING,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/PMmodule/utility/MigrateStaffAssignments.java,90,22,,,,False
CANNOT_DETERMINE_STATEMENT_STRING,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/PMmodule/utility/MigrateStaffAssignments.java,105,28,,,,False
CANNOT_DETERMINE_STATEMENT_STRING,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,602,75,statement string could evaluate to multiple string values,,,True
CANNOT_DETERMINE_STATEMENT_STRING,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,620,75,statement string could evaluate to multiple string values,,,True
SUPPORTED_PREPARED_STATEMENT,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,655,40,"@io.github.eisop.opsc.qual.Sql(in={""VARCHAR"", ""TIMESTAMP"", ""TIMESTAMP""}, out={""BIGINT EXPR$0""}, file=""/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java"", line=""655"", column=""40"")",select count(distinct uuid) from casemgmt_note where provider_no = ? and observation_date >= ? and observation_date <= ?,3.0,True
CANNOT_DETERMINE_STATEMENT_STRING,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,679,67,,,,True
CANNOT_DETERMINE_STATEMENT_STRING,/artifact/projects/oscar/oscar-annos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,681,55,,,,False
