kind,bindingFile,bindingLine,bindingColumn,statementFile,statementLine,statementColumn,key,details
OK,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeDAO.java,274,25,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeDAO.java,273.0,48.0,parameter.set,
OK,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeDAO.java,275,25,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeDAO.java,273.0,48.0,parameter.set,
OK,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeDAO.java,276,25,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeDAO.java,273.0,48.0,parameter.set,
OK,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeDAO.java,279,45,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeDAO.java,273.0,48.0,column.get,
OK,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeNodeDAO.java,128,25,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeNodeDAO.java,126.0,48.0,parameter.set,
OK,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeNodeDAO.java,131,45,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeNodeDAO.java,126.0,48.0,column.get,
OK,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeNodeDAO.java,150,25,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeNodeDAO.java,148.0,48.0,parameter.set,
OK,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeNodeDAO.java,153,45,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/PMmodule/dao/GenericIntakeNodeDAO.java,148.0,48.0,column.get,
OK,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,656,17,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,655.0,40.0,parameter.set,
OK,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,657,17,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,655.0,40.0,parameter.set,
OK,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,658,17,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,655.0,40.0,parameter.set,
ERROR,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,664,21,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,655.0,40.0,column.incompatibleTypes,"expected=getInt, actual=BIGINT EXPR$0"
ERROR,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,695,25,/artifact/projects/oscar/oscar-noannos/src/main/java/org/oscarehr/casemgmt/dao/CaseManagementNoteDAO.java,694.0,30.0,parameter.incompatibleTypes,"expected=setString, actual=INTEGER"
