method,sqlType,resultKind,resultKey
######### SETTERS -- JDBC 4.3 Spec Table B-2
setString,VARCHAR,OK,
setString,CHAR,OK,
setString,LONGVARCHAR,OK,
setString,NCHAR,OK,OK,
setString,NVARCHAR,OK,
setString,LONGNVARCHAR,OK,
setBigDecimal,NUMERIC,OK,
#########[setBigDecimal,DECIMAL missing in specification?]
setBigDecimal,DECIMAL,OK,
setBoolean,BIT,OK,
setBoolean,BOOLEAN,OK,
setByte,TINYINT,OK,
setShort,SMALLINT,OK,
setInt,INTEGER,OK,
setLong,BIGINT,OK,
setFloat,REAL,OK,
setDouble,DOUBLE,OK,
setBytes,BINARY,OK,
setBytes,VARBINARY,OK,
setBytes,LONGVARBINARY,OK
setDate,DATE,OK,
setTime,TIME,OK,
setTimestamp,TIMESTAMP,OK,
setClob,CLOB,OK,
setBlob,BLOB,OK,
setArray,ARRAY,OK,
setStruct,STRUCT,OK,
setRef,REF,OK,
setURL,DATALINK,OK,
setRowId,ROWID,OK,
setNClob,NCLOB,OK,
setSQLXML,SQMLXML,OK,
######### GETTERS -- JDBC 4.3 Spec Table B-6
getByte,TINYINT,OK,
getShort,SMALLINT,OK,
getInt,INTEGER,OK,
getLong,BIGINT,OK,
getFloat,REAL,OK,
getDouble,FLOAT,OK,
getDouble,DOUBLE,OK,
getBigDecimal,DECIMAL,OK,
getBigDecimal,NUMERIC,OK,
getBoolean,BIT,OK,
getBoolean,BOOLEAN,OK,
getString,CHAR,OK,
getString,VARCHAR,OK,
getNString,NCHAR,OK,
getNString,NVARCHAR,OK,
getBytes,BINARY,OK,
getBytes,VARBINARY,OK,
getDate,DATE,OK,
getTime,TIME,OK,
getTimestamp,TIMESTAMP,OK,
getAsciiStream,LONGVARCHAR,OK,
getBinaryStream,LONGVARBINARY,OK,
getCharacterStream,LONGVARCHAR,OK,
getNCharacterStream,LONGNVARCHAR,OK,
getClob,CLOB,OK,
getNClob,NCLOB,OK,
getBlob,BLOB,OK,
getArray,ARRAY,OK,
getRef,REF,OK,
getURL,DATALINK,OK,
getObject,STRUCT,OK,
getObject,JAVA_OBJECT,OK,
getRowId,ROWID,OK,
getSQLXML,SQMLXML,OK,
